Country/Territory,UN region,IMF[1][13],IMF[1][13],World Bank[14],World Bank[14],United Nations[15],United Nations[15]
Country/Territory,UN region,Estimate,Year,Estimate,Year,Estimate,Year
Cambodia,Asia,30628,2023,29957,2022,26669,2021
Zimbabwe,Africa,29931,2023,20678,2022,24118,2021
Zambia,Africa,29272,2023,29784,2022,21313,2021
Iceland,Europe,28625,2023,27842,2022,25602,2021
Bosnia and Herzegovina,Europe,28488,2023,24528,2022,23365,2021
Trinidad and Tobago,Americas,28223,2023,27899,2022,24460,2021
Georgia,Europe,27947,[n 11]2023,24605,[n 11]2022,18696,[n 11]2021
Haiti,Americas,26580,2023,20254,2022,19044,2021
Lebanon,Asia,—,—,—,—,37945,2021
Armenia,Asia,23725,2023,19503,2022,13861,2021
Guinea,Africa,23330,2023,21228,2022,16036,2021
Burkina Faso,Africa,21076,2023,18885,2022,19738,2021
Mali,Africa,20776,2023,18827,2022,19157,2021
Gabon,Africa,20330,2023,21072,2022,18521,2021
Albania,Europe,20177,2023,18882,2022,18260,2021
Afghanistan,Asia,—,—,—,—,14939,2021
Mozambique,Africa,19909,2023,17851,2022,15777,2021
Palestine,Asia,19206,[n 12]2023,19112,[n 12]2022,18037,[n 13]2021
Botswana,Africa,19572,2023,20352,2022,17615,2021
Yemen,Asia,19529,2023,—,—,9947,2021
Malta,Europe,19405,2023,17765,2022,17721,2021
Benin,Africa,19236,2023,17402,2022,17688,2021
Nicaragua,Americas,17287,2023,15672,2022,14013,2021
Jamaica,Americas,17254,2023,17098,2022,14658,2021
Mongolia,Asia,16908,2023,16811,2022,15098,2021
Niger,Africa,16617,2023,13970,2022,14915,2021
Guyana,Americas,16309,2023,15358,2022,8044,2021
Brunei,Asia,15988,2023,16682,2022,14006,2021
Madagascar,Africa,15969,2023,14955,2022,14450,2021
North Korea,Asia,—,—,—,—,16750,2021
Moldova,Europe,15829,[n 14]2023,14421,[n 14]2022,13680,[n 14]2021
Syria,Asia,—,—,—,—,19719,2021
North Macedonia,Europe,15278,2023,13563,2022,13881,2021
Equatorial Guinea,Africa,15099,2023,11814,2022,12431,2021
Mauritius,Africa,14570,2023,12898,2022,11525,2021
Bahamas,Americas,14114,2023,12897,2022,11209,2021
Laos,Asia,14091,2023,15724,2022,19074,2021
Namibia,Africa,13486,2023,12607,2022,12236,2021
Rwanda,Africa,13149,2023,13313,2022,11070,2021
Congo,Africa,13031,2023,14616,2022,12841,2021
Tajikistan,Asia,12796,2023,10492,2022,8746,2021
Kyrgyzstan,Asia,12309,2023,10931,2022,8741,2021
Chad,Africa,11962,2023,12704,2022,16410,2021
Malawi,Africa,11277,2023,13165,2022,12199,2021
Mauritania,Africa,10966,2023,10375,2022,9996,2021
New Caledonia,Oceania,—,—,—,—,10071,2021
Kosovo,Europe,9990,2023,9429,2022,9412,2021
Togo,Africa,9001,2023,8126,2022,8160,2021
Somalia,Africa,8738,2023,8126,2022,7628,2021
Monaco,Europe,—,—,—,—,8596,2021
Bermuda,Americas,—,—,7551,2022,7231,2021
Montenegro,Europe,7027,2023,6096,2022,5809,2021
South Sudan,Africa,7012,2023,—,—,4304,2021
Maldives,Asia,7004,2023,6190,2022,5406,2021
Liechtenstein,Europe,—,—,—,—,6608,2021
Barbados,Americas,6117,2023,5638,2022,4844,2021
French Polynesia,Oceania,—,—,—,—,6055,2021
Cayman Islands,Americas,—,—,—,—,5809,2021
Fiji,Oceania,5385,2023,4943,2022,4296,2021
Eswatini,Africa,4824,2023,4854,2022,4732,2021
Liberia,Africa,4375,2023,4001,2022,2445,2021
Djibouti,Africa,3916,2023,3515,2022,3701,2021
Andorra,Europe,3669,2023,3352,2022,3325,2021
Aruba,Americas,3633,2023,—,—,3126,2021
Sierra Leone,Africa,3520,2023,3970,2022,4249,2021
Suriname,Americas,3470,2023,3621,2022,3224,2021
Burundi,Africa,3234,2023,3073,2022,3900,2021
Belize,Americas,3162,2023,2824,2022,2492,2021
Greenland,Americas,—,—,—,—,3273,2021
Central African Republic,Africa,2736,2023,2383,2022,2518,2021
Curaçao,Americas,—,—,—,—,2700,2021
Bhutan,Asia,2683,2023,—,—,2381,2021
Eritrea,Africa,2666,2023,—,—,2255,2021
Lesotho,Africa,2584,2023,2553,2022,2373,2021
Cape Verde,Africa,2468,2023,2315,2022,1936,2021
Gambia,Africa,2277,2023,2273,2022,2038,2021
Saint Lucia,Americas,2262,2023,2065,2022,1765,2021
East Timor,Asia,1988,2023,3163,2022,2004,2021
Seychelles,Africa,1950,2023,1588,2022,1287,2021
Guinea-Bissau,Africa,1887,2023,1634,2022,1563,2021
Antigua and Barbuda,Americas,1864,2023,1758,2022,1421,2021
San Marino,Europe,1807,2023,—,—,1702,2021
Zanzibar,Africa,—,—,—,—,2080,2021
Solomon Islands,Oceania,1701,2023,1596,2022,1632,2021
British Virgin Islands,Americas,—,—,—,—,1539,2021
Comoros,Africa,1348,2023,1243,2022,1340,2021
Grenada,Americas,1274,2023,1256,2022,1115,2021
Vanuatu,Oceania,1064,2023,984,2022,981,2021
Saint Kitts and Nevis,Americas,1052,2023,962,2022,861,2021
Saint Vincent and the Grenadines,Americas,1039,2023,949,2022,881,2021
Turks and Caicos Islands,Americas,—,—,1139,2022,943,2021
Samoa,Oceania,898,2023,832,2022,857,2021
Sint Maarten,Americas,—,—,1572,2022,1154,2021
Dominica,Americas,681,2023,612,2022,548,2021
São Tomé and Príncipe,Africa,625,2023,547,2022,555,2021
Tonga,Oceania,541,2023,—,—,472,2021
Micronesia,Oceania,456,2023,427,2022,404,2021
Marshall Islands,Oceania,291,2023,280,2022,257,2021
Cook Islands,Oceania,—,—,—,—,328,2021
Palau,Oceania,262,2023,—,—,218,2021
Anguilla,Americas,—,—,—,—,303,2021
Kiribati,Oceania,248,2023,223,2022,227,2021
Nauru,Oceania,151,2023,151,2022,155,2021
Montserrat,Americas,—,—,—,—,72,2021
Tuvalu,Oceania,65,2023,60,2022,60,2021
